stats_o/mean,train/episode,stats_g/mean,train/critic_loss,test/episode,stats_o/std,epoch,test/ag_g_dist,train/success_rate,test/mean_Q,stats_g/std,test/success_rate
0.18040971,12200.0,0.76636857,1.1237307,2440.0,0.08770732,121,0.38442847,0.0,-33.757374,0.17127065,0.0
0.18042667,12300.0,0.7664754,0.6789937,2460.0,0.087642185,122,0.44107592,0.0,-36.202114,0.17119443,0.008333333333333333
0.18044423,12400.0,0.7665546,0.7260477,2480.0,0.087628186,123,0.42615572,0.0,-34.991863,0.17123246,0.0
0.18045513,12500.0,0.76663023,1.2970116,2500.0,0.08770501,124,0.4419898,0.0016666666666666668,-35.221466,0.17132582,0.0
0.18046534,12600.0,0.7667096,0.4755367,2520.0,0.087742664,125,0.39214548,0.0,-31.271029,0.17129,0.0
0.18047588,12700.0,0.7667425,0.65908146,2540.0,0.087839,126,0.42915976,0.0,-29.193535,0.17123832,0.0
0.18048401,12800.0,0.766799,1.1221002,2560.0,0.08790175,127,0.44077978,0.0033333333333333335,-29.157598,0.17105179,0.008333333333333333
0.18049371,12900.0,0.7667993,0.83960706,2580.0,0.08800455,128,0.42247486,0.0016666666666666668,-27.99016,0.17093904,0.0
0.18051589,13000.0,0.7668312,1.2283124,2600.0,0.08814845,129,0.41163412,0.0,-26.76706,0.1708879,0.0
0.18053514,13100.0,0.7669143,0.90832025,2620.0,0.088273324,130,0.3742354,0.0,-25.65357,0.17077799,0.0
0.18056892,13200.0,0.76701957,0.62287104,2640.0,0.088374354,131,0.39271995,0.0,-26.328085,0.17066668,0.0
0.18059267,13300.0,0.7670889,0.54362375,2660.0,0.08843925,132,0.43406925,0.0,-27.97249,0.17047812,0.0
0.18062176,13400.0,0.7672217,0.5031143,2680.0,0.088494174,133,0.3758835,0.0,-26.237663,0.17036688,0.0
0.18065661,13500.0,0.7673761,1.4474362,2700.0,0.08855005,134,0.3808105,0.0,-25.830359,0.17028368,0.0
0.18070276,13600.0,0.76756525,0.9598747,2720.0,0.0886058,135,0.3846834,0.0,-27.49135,0.17022683,0.008333333333333333
0.1807418,13700.0,0.7677373,0.36874235,2740.0,0.08868668,136,0.371814,0.0,-27.603216,0.17026202,0.0
0.18080823,13800.0,0.76801634,0.899501,2760.0,0.0887538,137,0.3527018,0.0,-27.25971,0.17031844,0.0
0.18086596,13900.0,0.7682505,0.74856836,2780.0,0.088821374,138,0.3690845,0.0,-28.875801,0.1703734,0.0
0.18093717,14000.0,0.76854587,0.5879154,2800.0,0.08885363,139,0.3854532,0.0,-28.11883,0.17044187,0.0
0.18099558,14100.0,0.76878816,0.60114795,2820.0,0.0888651,140,0.3472847,0.0,-28.897646,0.17046332,0.0
0.18104057,14200.0,0.7690134,0.93085575,2840.0,0.08884835,141,0.38435665,0.0,-29.207361,0.17045467,0.0
0.18107736,14300.0,0.7692031,0.8230708,2860.0,0.08883649,142,0.39803132,0.0033333333333333335,-30.344706,0.17045666,0.008333333333333333
0.18110968,14400.0,0.76934344,0.89399534,2880.0,0.088813394,143,0.40159807,0.0,-30.24508,0.17044114,0.0
0.1811499,14500.0,0.76951796,0.38848528,2900.0,0.088757254,144,0.39484993,0.0,-30.824774,0.1704398,0.008333333333333333
0.1811738,14600.0,0.7696639,0.517232,2920.0,0.08870683,145,0.40167156,0.0,-31.556335,0.17041267,0.0
0.18119812,14700.0,0.76978225,0.7286765,2940.0,0.0886642,146,0.40559113,0.0,-31.7848,0.17041522,0.0
0.18122368,14800.0,0.76992303,0.5469478,2960.0,0.08861169,147,0.4085451,0.0033333333333333335,-32.456547,0.17037065,0.0
0.18124996,14900.0,0.7700617,0.88839465,2980.0,0.088526964,148,0.38572863,0.0016666666666666668,-32.11299,0.17030592,0.0
0.18128614,15000.0,0.77023727,0.5594237,3000.0,0.08846865,149,0.41275334,0.0,-33.23743,0.17029823,0.008333333333333333
0.1813121,15100.0,0.7703454,0.44106522,3020.0,0.08843625,150,0.40251446,0.0033333333333333335,-32.95764,0.17029442,0.0
0.1813388,15200.0,0.7704387,1.0038491,3040.0,0.08836028,151,0.4043877,0.0016666666666666668,-33.863003,0.17033206,0.0
0.18135063,15300.0,0.77052283,0.47492456,3060.0,0.088317715,152,0.415131,0.0033333333333333335,-34.07685,0.17031111,0.0
0.18137224,15400.0,0.770628,0.7443612,3080.0,0.08827288,153,0.38568005,0.006666666666666667,-33.45891,0.1702862,0.0
0.18138641,15500.0,0.77069616,1.1265297,3100.0,0.08826067,154,0.35942665,0.0,-33.402645,0.17037487,0.0
0.18141629,15600.0,0.7708089,0.84879917,3120.0,0.0882202,155,0.41456532,0.0016666666666666668,-34.843452,0.17035551,0.0
0.1814311,15700.0,0.7708864,0.6464973,3140.0,0.08823224,156,0.42456087,0.0016666666666666668,-34.882145,0.17035736,0.0
0.18143928,15800.0,0.7709384,0.9096555,3160.0,0.08823398,157,0.4218,0.005,-35.278236,0.17032938,0.0
0.1814513,15900.0,0.7709949,0.87077904,3180.0,0.08828568,158,0.39566588,0.0016666666666666668,-33.779873,0.17038591,0.008333333333333333
0.18146564,16000.0,0.7710771,0.62767625,3200.0,0.088334076,159,0.39603296,0.0016666666666666668,-32.982853,0.17041846,0.0
0.18150109,16100.0,0.77125674,0.39513245,3220.0,0.08842782,160,0.35497317,0.0,-31.682,0.17052932,0.0
0.18153836,16200.0,0.7714598,0.45098993,3240.0,0.08852134,161,0.3636777,0.0033333333333333335,-30.791504,0.17067455,0.0
