train/reward_compute_count,train/critic_loss,test/success_rate,test/mean_Q,stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,test/reward_compute_count,epoch,stats_o/std,train/episode,test/episode
480000.0,0.2096092,0.18333333333333335,-22.795435,0.20949869,0.018333333333333333,0.37141362,0.17132409,0.7096138,96000.0,95,0.88928825,9600.0,1920.0
485000.0,0.18630528,0.17500000000000002,-21.925993,0.2094564,0.016666666666666666,0.37144294,0.1714008,0.68669724,97000.0,96,0.88966066,9700.0,1940.0
490000.0,0.2982023,0.17499999999999996,-21.948797,0.20946282,0.02666666666666667,0.3715026,0.17145191,0.68599606,98000.0,97,0.890016,9800.0,1960.0
495000.0,0.18675923,0.16666666666666666,-21.477503,0.20952481,0.024999999999999998,0.37150756,0.17150228,0.62828,99000.0,98,0.89029866,9900.0,1980.0
500000.0,0.19423194,0.11666666666666665,-24.083832,0.20955503,0.028333333333333332,0.3715417,0.17156209,0.7044995,100000.0,99,0.8906024,10000.0,2000.0
505000.0,0.39697042,0.20833333333333334,-23.343058,0.2095743,0.02333333333333333,0.3715907,0.17159472,0.72522306,101000.0,100,0.8908448,10100.0,2020.0
510000.0,0.22675712,0.16666666666666666,-20.524996,0.20956732,0.02666666666666667,0.37164417,0.17160763,0.5972662,102000.0,101,0.89110166,10200.0,2040.0
515000.0,0.19884278,0.10833333333333335,-24.897278,0.20957834,0.018333333333333337,0.37172666,0.17164724,0.7194988,103000.0,102,0.89143777,10300.0,2060.0
520000.0,0.22207288,0.08333333333333333,-25.897545,0.20955808,0.028333333333333332,0.3717638,0.17169245,0.8129718,104000.0,103,0.8917709,10400.0,2080.0
525000.0,0.283433,0.1416666666666667,-24.281576,0.20959675,0.028333333333333335,0.3718336,0.17172198,0.7213624,105000.0,104,0.89199376,10500.0,2100.0
530000.0,0.2325341,0.16666666666666666,-21.525705,0.20961265,0.02,0.37188458,0.17173849,0.5829782,106000.0,105,0.8922298,10600.0,2120.0
535000.0,0.18464458,0.18333333333333335,-22.287008,0.2096272,0.016666666666666666,0.37189826,0.17180867,0.6653007,107000.0,106,0.8925689,10700.0,2140.0
540000.0,0.19357245,0.125,-23.669464,0.20964499,0.02,0.37193155,0.17183746,0.6700771,108000.0,107,0.89296246,10800.0,2160.0
545000.0,0.3022375,0.125,-23.67691,0.20970027,0.018333333333333337,0.37201223,0.17184961,0.692461,109000.0,108,0.89338475,10900.0,2180.0
550000.0,0.2137314,0.25,-21.215696,0.20972079,0.018333333333333333,0.37204012,0.17188965,0.66745204,110000.0,109,0.89365214,11000.0,2200.0
555000.0,0.2017445,0.19166666666666668,-23.501635,0.20972888,0.02666666666666667,0.3720788,0.17197879,0.68454534,111000.0,110,0.89387125,11100.0,2220.0
560000.0,0.21173097,0.11666666666666665,-25.9028,0.20976086,0.018333333333333333,0.37214008,0.17203803,0.7763915,112000.0,111,0.8941381,11200.0,2240.0
565000.0,0.223339,0.20833333333333334,-22.092628,0.2097941,0.016666666666666666,0.3721969,0.17207904,0.6805396,113000.0,112,0.89445996,11300.0,2260.0
570000.0,0.2319063,0.18333333333333335,-23.086792,0.20985758,0.02,0.37226358,0.17209838,0.67386913,114000.0,113,0.8947299,11400.0,2280.0
575000.0,0.4653624,0.10000000000000002,-24.580835,0.20989193,0.018333333333333333,0.3722888,0.17216529,0.7041497,115000.0,114,0.89501923,11500.0,2300.0
580000.0,0.2745467,0.125,-24.886703,0.20993857,0.023333333333333334,0.37234482,0.17220397,0.7515405,116000.0,115,0.89533395,11600.0,2320.0
585000.0,0.24792306,0.15833333333333333,-25.154745,0.20995645,0.03333333333333333,0.37238416,0.1722476,0.77391547,117000.0,116,0.8956061,11700.0,2340.0
590000.0,0.17182547,0.10833333333333334,-24.843903,0.20991832,0.021666666666666667,0.37244365,0.17226999,0.77032614,118000.0,117,0.89591885,11800.0,2360.0
595000.0,0.1976254,0.15,-24.664549,0.20995478,0.03,0.37249556,0.1723123,0.7333503,119000.0,118,0.8962423,11900.0,2380.0
600000.0,0.25066915,0.17499999999999996,-23.735277,0.21001826,0.021666666666666667,0.37251493,0.17239769,0.72360784,120000.0,119,0.8965575,12000.0,2400.0
605000.0,0.19541766,0.17499999999999996,-20.667582,0.21006525,0.018333333333333333,0.3725315,0.17245357,0.6254242,121000.0,120,0.8968186,12100.0,2420.0
