addnl_loss_term,confname,distance_threshold,env,gitrev,goal_noise,intermediate_sampling,loss_term,loss_term_weights,loss_term_weights_json,n_cycles,num_cpu,recompute_rewards,replay_strategy,reward_type,dir,epoch_test/success_rate,epoch_test/ag_g_dist,reward_computes_test/success_rate,reward_computes_test/ag_g_dist
NULL,NULL,0.05,FetchReach-v1,38f4625,NULL,NULL,qste,NULL,NULL,10,NULL,NULL,future,NULL,38f4625-FetchReach-v1-qste-future,0.009353741496598636,0,0.009353741496598636,0
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,sparse,38f4625-FetchSlide-v1-ddpg-future,0.023469387755102038,0.008708095,0.02346938775510204,0.008708095
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,dqst,NULL,NULL,50,NULL,NULL,future,sparse,38f4625-FetchSlide-v1-dqst-future,0.02125850340136054,0.010563177448979586,0.021258503401360554,0.010563177448979588
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,dqte,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchSlide-v1-dqte-future,0.0023809523809523803,0,0.002380952380952382,0
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,sparse,38f4625-FetchSlide-v1-fwrl-future,0.02525510204081633,0.00824335857142857,0.02525510204081634,0.008243358571428574
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,qlst,NULL,NULL,50,NULL,NULL,future,sparse,38f4625-FetchSlide-v1-qlst-future,0.027551020408163266,0.01196155755102041,0.027551020408163276,0.011961557551020414
NULL,NULL,0.05,FetchSlide-v1,38f4625,NULL,NULL,qste,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchSlide-v1-qste-future,0.0008503401360544218,0,0.0008503401360544216,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,NULL,394f532-FetchPush-v1-ddpg-future,0.01445578231292516,0,0.014455782312925158,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,none,NULL,394f532-FetchPush-v1-ddpg-none,0.01352040816326531,0,0.013520408163265312,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,dqst,NULL,NULL,50,NULL,NULL,future,NULL,394f532-FetchPush-v1-dqst-future,0.04166666666666668,0,0.04166666666666668,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,NULL,394f532-FetchPush-v1-fwrl-future,0.015136054421768701,0,0.015136054421768705,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,none,NULL,394f532-FetchPush-v1-fwrl-none,0.013095238095238096,0,0.013095238095238099,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,stfw,NULL,NULL,50,NULL,NULL,future,NULL,394f532-FetchPush-v1-stfw-future,0.012925170068027212,0,0.012925170068027214,0
NULL,NULL,0.05,FetchPush-v1,394f532,NULL,NULL,stfw,NULL,NULL,50,NULL,NULL,none,NULL,394f532-FetchPush-v1-stfw-none,0.013095238095238096,0,0.013095238095238099,0
stepfwrl,NULL,0.05,FetchReach-v1,3a90344,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,future,NULL,3a90344-FetchReach-v1-stepfwrl-future,0.009608843537414966,0,0.009608843537414966,0
NULL,NULL,0.05,FetchPush-v1,3c58811,NULL,uniform,qlst,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]",50,NULL,NULL,future,,3c58811-ae8e5da1-FetchPush-v1-qlst-future,nan,53.906496965634055,nan,53.90649696563406
NULL,NULL,0.05,FetchReachPR-v1,3d07a6e,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,,3d07a6e-FetchReachPR-v1-ddpg-future,0.02593537414965986,0.0010620926326530605,0.025935374149659865,0.0010620926326530603
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-ddpg-future,0.02227011494252874,0,0.022270114942528733,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,dqst,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-dqst-future,0.022083333333333333,0,0.022083333333333333,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-fwrl-future,0.021982758620689654,0,0.021982758620689644,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,qlst,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-qlst-future,0.0235632183908046,0,0.0235632183908046,0
