test/ag_g_dist,stats_o/mean,test/mean_Q,train/episode,test/success_rate,stats_g/mean,train/critic_loss,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch
0.022419805,0.26391265,-3.2261631,1520.0,0.9,0.87921923,0.05424294,0.3,1520.0,0.03117985,0.084709555,75
0.017293727,0.2639207,-2.6015165,1540.0,0.9416666666666668,0.8792471,0.054399323,0.3833333333333333,1540.0,0.03118526,0.08471843,76
0.018761465,0.263944,-3.3318617,1560.0,0.8916666666666666,0.8793218,0.054273058,0.3166666666666667,1560.0,0.031181589,0.08468994,77
0.022441002,0.26395074,-3.3816879,1580.0,0.9,0.8793473,0.045817275,0.2333333333333333,1580.0,0.031186199,0.08470491,78
0.014411923,0.2639485,-2.2548826,1600.0,0.9333333333333332,0.8793337,0.059507206,0.39166666666666666,1600.0,0.031186556,0.08468621,79
0.015139443,0.26392752,-2.7386768,1620.0,0.9249999999999999,0.8792532,0.0498461,0.35833333333333334,1620.0,0.03119192,0.08469207,80
0.0179893,0.26390016,-3.6322792,1640.0,0.8833333333333334,0.8791564,0.051401716,0.3416666666666666,1640.0,0.031202933,0.0847192,81
0.014326289,0.26388806,-2.330705,1660.0,0.9583333333333334,0.8791124,0.04845877,0.35833333333333334,1660.0,0.031210894,0.084741496,82
0.014414299,0.26386684,-2.601438,1680.0,0.9416666666666668,0.8790235,0.04643254,0.3416666666666666,1680.0,0.031214276,0.084747374,83
0.012441386,0.26386845,-2.1673229,1700.0,0.9499999999999998,0.8790269,0.049832422,0.39999999999999997,1700.0,0.031218171,0.084750585,84
0.019862669,0.26387236,-2.598019,1720.0,0.9416666666666668,0.87903905,0.06040291,0.30833333333333335,1720.0,0.031219563,0.08475413,85
0.016648868,0.26384717,-3.074953,1740.0,0.9166666666666666,0.87895036,0.053586185,0.39999999999999997,1740.0,0.031231612,0.0847917,86
0.015118651,0.26386264,-2.5699675,1760.0,0.9416666666666668,0.87900716,0.071348965,0.3666666666666667,1760.0,0.031232199,0.08478668,87
0.0110028945,0.26386982,-2.0736053,1780.0,0.975,0.8790404,0.05541058,0.3333333333333333,1780.0,0.031240324,0.08480216,88
0.024470612,0.2638553,-3.0992804,1800.0,0.9,0.8789835,0.049247514,0.3166666666666667,1800.0,0.03124013,0.084800504,89
0.015143496,0.26385126,-3.017373,1820.0,0.9249999999999999,0.8789757,0.05386624,0.3333333333333333,1820.0,0.031242719,0.08479133,90
0.021593736,0.26385337,-3.3994312,1840.0,0.9083333333333332,0.8789863,0.05690987,0.27499999999999997,1840.0,0.031247457,0.084807396,91
0.03200397,0.2638523,-3.3021476,1860.0,0.9083333333333333,0.87898445,0.054556046,0.26666666666666666,1860.0,0.031260982,0.08485377,92
0.022304185,0.2638488,-2.872502,1880.0,0.9249999999999999,0.87897366,0.054430995,0.35000000000000003,1880.0,0.03126902,0.08488133,93
0.021983752,0.2638579,-3.3152008,1900.0,0.9166666666666666,0.87900144,0.04701522,0.325,1900.0,0.03127278,0.08489704,94
0.017949453,0.2638474,-2.4264796,1920.0,0.9416666666666668,0.8789606,0.050410654,0.29166666666666663,1920.0,0.031277824,0.08490508,95
0.026149562,0.2638431,-3.4851148,1940.0,0.875,0.8789432,0.04424994,0.2583333333333333,1940.0,0.03128735,0.08493373,96
0.019077033,0.26385266,-2.1299865,1960.0,0.9499999999999998,0.8789819,0.055323243,0.30833333333333335,1960.0,0.031292703,0.08494464,97
0.026774002,0.263847,-2.581741,1980.0,0.9166666666666666,0.87895507,0.048642337,0.3833333333333333,1980.0,0.03131538,0.08500827,98
0.030116983,0.2638458,-2.97808,2000.0,0.8916666666666666,0.8789465,0.05316146,0.3333333333333333,2000.0,0.03133069,0.085064106,99
